date,obs_ma,p05,p25,p75,p95
2003-03-01,0.3291757136045123,-0.12208257427381614,0.10354656966534809,0.5548048575436766,0.7804340014828408
2003-04-01,0.3369502004590746,-0.11430808741925386,0.11132105651991037,0.5625793443982388,0.788208488337403
2003-05-01,0.3444709917256223,-0.10678729615270616,0.11884184778645807,0.5701001356647866,0.7957292796039508
2003-06-01,0.35172098647422245,-0.099537301404106,0.12609184253505823,0.5773501304133867,0.8029792743525509
2003-07-01,0.35868671724418955,-0.0925715706341389,0.13305757330502532,0.5843158611833538,0.809945005122518
2003-08-01,0.3653598431094694,-0.08589844476885905,0.13973069917030517,0.5909889870486336,0.8166181309877978
2003-09-01,0.37173865173570975,-0.0795196361426187,0.14610950779654552,0.597367795674874,0.8229969396140382
2003-10-01,0.37782632733583216,-0.07343196054249629,0.15219718339666793,0.6034554712749964,0.8290846152141607
2003-11-01,0.38363145679994864,-0.0676268310783798,0.15800231286078442,0.6092606007391128,0.834889744678277
2003-12-01,0.3891649514663116,-0.062093336412016864,0.16353580752714736,0.6147940954054758,0.84042323934464
2004-01-01,0.3944405640543546,-0.05681772382397382,0.1688114201151904,0.6200697079935189,0.8456988519326831
2004-02-01,0.39947396101044375,-0.0517843268678847,0.17384481707127952,0.625103104949608,0.8507322488887722
2004-03-01,0.404280610251839,-0.04697767762648947,0.17865146631267476,0.6299097541910033,0.8555388981301675
2004-04-01,0.40887598906595535,-0.0423822988123731,0.18324684512679112,0.6345051330051196,0.8601342769442838
2004-05-01,0.413273270892028,-0.03798501698630047,0.18764412695286375,0.6389024148311921,0.8645315587703564
2004-06-01,0.417480991815686,-0.03377729606264246,0.19185184787652176,0.6431101357548502,0.8687392796940144
2004-07-01,0.4215047902115999,-0.029753497666728523,0.1958756462724357,0.6471339341507641,0.8727630780899284
2004-08-01,0.4253469122041195,-0.025911375674208925,0.1997177682649553,0.6509760561432838,0.876605200082448
2004-09-01,0.42900640592222883,-0.022251881956099617,0.2033772619830646,0.654635549861393,0.8802646938005573
2004-10-01,0.4324800383329148,-0.018778249545413628,0.2068508943937506,0.658109182272079,0.8837383262112433
2004-11-01,0.435766180040245,-0.015492107838083469,0.21013703610108075,0.6613953239794093,0.8870244679185735
2004-12-01,0.43886666470644664,-0.012391623171881805,0.21323752076728242,0.6644958086456109,0.8901249525847751
2005-01-01,0.44178854730489997,-0.009469740573428476,0.21615940336573575,0.6674176912440641,0.8930468351832284
